#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC,Explicit
128,"El Farsante","Ozuna",120,2B,70,2026-06-23,03:53,83,"","Odisea",2017-08-25,74,20,0,32,0,20,-4,F#/G♭ Major,4,5EId1m4DNwTf3at31w8bPJ,USXDR1700562,no
129,"La Historia","El Taiger,DJ Conds",100,6B,64,2026-06-23,03:57,0,"pop latino, ","La Historia",2020-10-23,91,28,0,55,10,0,-7,A#/B♭ Major,4,1e0XAUTcp9QwnD2JiWx1Hg,QZNJW2006987,no
130,"Pa' Madrid","El Barrio",167,3B,94,2026-06-23,04:20,0,"timba","La Voz de Mi Silencio",2007-10-15,63,24,0,93,0,10,-3,C♯/D♭ Major,4,3G0C3Z9H9CLejvrkWbGBb7,ES5160700786,no
131,"Quien Dijo Amigos","Carlitos Rossy",88,1B,84,2026-06-23,03:43,0,"flamenco","Quien Dijo Amigos",2016-05-24,76,34,0,91,0,0,-5,B Major,4,5mmeEKfSZZiggiRsNF5kot,ES5021600325,no
132,"Mala Mujer","C. Tangana",101,5A,73,2026-06-23,03:42,68,"","Mala Mujer",2017-05-26,84,24,0,47,10,0,-5,C Minor,4,6puxHBNwu2Nmm7uD3Rd2MP,ES5021701596,no
133,"Clavado en Un Bar","Maná",148,1B,85,2026-06-23,05:10,81,"","Sueños Líquidos",1997-00-00,63,1,0,56,0,0,-3,B Major,4,78DVpEWwmJFC25KGz8fJuE,MXF159700094,no
134,"Callaita","Bad Bunny,Tainy",176,10B,62,2026-06-23,04:10,78,"pop latino, rock latino, neoperreo","Callaita",2019-05-31,61,60,0,24,30,20,-5,D Major,4,2TH65lNHgvLxCKXM3apjxI,QM6N21919851,yes
135,"El Perdón (with Enrique Iglesias)","Nicky Jam,Enrique Iglesias",180,4B,69,2026-06-23,03:25,80,"flamenco pop, flamenco, flamenco urbano, bachata","Fénix",2017-01-20,63,44,0,66,0,10,-6,G#/A♭ Major,4,7qCAVkHWZkF44OzOUKf8Cr,USSD11500005,no
136,"Limón y Sal","Julieta Venegas",111,1B,65,2026-06-23,03:25,0,"flamenco pop, flamenco","Limón y Sal",2006-05-25,63,14,0,49,0,20,-6,B Major,4,4DKIsyQvxNwcCIWdryyC9I,MXF010600234,no
137,"Devuélveme a mi chica","Hombres G",173,8A,94,2026-06-23,03:14,61,"rock en español, rock latino, rock mexicano, pop latino","Lo Mejor De Los Hombres G",1999-03-26,59,2,0,39,0,10,-5,A Minor,4,6pYbhX5gYix4ESpbSUArnA,ES5018572005,no
138,"Me Muero","La Quinta Estacion",170,7B,74,2026-06-23,03:09,78,"reggaetón","El Mundo Se Equivoca",2006-08-15,42,17,0,59,0,20,-3,F Major,4,3ri9fLG89OdSpjxheYxU7S,MXF010600412,no
139,"Ni Una Sola Palabra","Paulina Rubio",130,4A,80,2026-06-23,03:44,0,"","Ananda",2006-01-01,76,4,0,64,0,10,-4,F Minor,4,52IreIJblsuK0SAJDIIh6v,MXUM70600579,no
140,"Moriría por vos","Amaral",105,8B,73,2026-06-23,03:47,61,"trap latino, dembow, reggaetón, trap","Estrella De Mar",2002-02-04,68,28,0,74,0,10,-5,C Major,4,2Ec0VmnItt52GPU6A9Vya3,ES5030200002,no
141,"Mari Carmen","La Pegatina",160,11B,86,2026-06-23,02:28,0,"","Xapomelön",2011-03-15,72,8,0,84,0,0,-6,A Major,4,5ClKabzSX0QXnURNomxohE,ES7311100021,no
142,"Solo Se Vive una Vez","Azucar Moreno",102,2B,97,2026-06-23,03:31,6,"reggaetón, trap latino, latina, urbano latino","Esclava De Tu Piel",1996-05-06,74,5,0,98,0,0,-5,F#/G♭ Major,4,0ATzislS5SvAp69hjHczej,ES5110404988,no
143,"Bulería","David Bisbal",125,11A,91,2026-06-23,04:11,60,"","Bulería",2004-01-01,61,25,0,73,10,10,-4,F#/G♭ Minor,4,2s7WJ9IRON5zalNbfFY1xa,ES6010400020,no
144,"Mayonesa","Banda Latina Sol y Salsa",97,6B,99,2026-06-23,03:53,28,"","Todo Latino",2011-09-13,80,19,0,92,10,10,-2,A#/B♭ Major,4,5reiycxshADSr0mfX13mKS,USA371440887,no
145,"Echa Pa'lla (Manos Pa'rriba) (feat. Papayo)","Pitbull,Papayo",90,6B,84,2026-06-23,03:16,65,"timba, ","Global Warming",2012-11-16,46,6,0,96,20,0,-4,A#/B♭ Major,3,0fjRYHFz9ealui1lfnN8it,USRC11201341,no
146,"Mayores","Becky G,Bad Bunny",97,4A,86,2026-06-23,03:22,66,"tropipop, pop urbano, pop latino, rock latino","Mayores",2017-07-14,74,14,0,87,0,10,-4,F Minor,4,7JNh1cfm0eXjqFVOzKLyau,USRC11701270,no
147,"Duro y Suave","Leslie Grace,Noriel",95,3A,72,2026-06-23,03:27,62,"rock en español, rock mexicano","Duro y Suave",2018-01-19,77,11,0,62,10,0,-4,A#/B♭ Minor,4,31M5m42C3EGlbydf9XB5to,USSD11700398,no
148,"No Me Acuerdo","Thalia,NATTI NATASHA",94,6A,78,2026-06-23,03:37,68,"pop latino, ","Valiente",2018-11-09,84,18,0,75,10,0,-5,G Minor,4,1G586ld1gbaECg4Bc6w40O,USSD11800192,no
149,"Los Coches Chocones","Los Desgraciaus",160,4A,97,2026-06-23,04:40,0,"","Los Coches Chocones",2013-11-04,58,4,0,85,0,10,-4,F Minor,4,3fDPalBAY0MzPaAm0a3NpL,ES5331306153,no
150,"Es Gratis","Arnau Griso",132,12A,70,2026-06-23,03:10,50,"","Revolución Bananera",2018-09-14,74,30,0,93,0,30,-5,C♯/D♭ Minor,4,2nkUKzO4H7h2LpAMnTXVPr,ES5021800606,no
151,"Niña Bonita","Chino & Nacho",120,11B,91,2026-06-23,03:36,71,"","Mi Niña Bonita - Reloaded",2010-01-01,68,26,0,72,10,10,-5,A Major,4,4u5xLMRN0dgKBFFN8FiNgv,USUM70915449,no
152,"DROGA","Mora,C. Tangana",152,5A,89,2026-06-23,03:42,67,"","DROGA",2025-05-17,72,28,0,84,0,0,-5,C Minor,4,18D0Za12EKUYklBQaJlaDP,QM6P42540021,yes
153,"VEN DEVORAME OTRA VEZ","Guaynaa",160,5A,59,2026-06-23,06:06,55,"bachata, kizomba, latin dance, latina","Aguinaldo",2024-12-19,74,45,0,97,0,30,-9,C Minor,4,0cdKJgwwt2HeVJkiTX8wpl,BK4DA2462824,no
154,"this is the life tekkno","TEKKNO",95,12A,92,2026-06-23,03:29,3,"","this is the life tekkno",2022-10-04,65,0,3,6,0,10,-5,C♯/D♭ Minor,4,1V1dRk79rVQr0nJ0FDrJek,GX89G2221051,no
155,"FÍSICA O QUÍMICA","el quinqui",105,9B,98,2026-06-23,02:24,35,"","FÍSICA O QUÍMICA",2023-05-01,53,4,0,33,10,10,-4,G Major,4,4o4PT2GmT8zNvqkAE70F2x,QZHN82385252,no
156,"PUEDES CONTAR CONMIGO","María Escarmiento,BLNCO,detunedfreq",160,2B,96,2026-06-23,02:34,50,"hyperpop, reggaetón","PUEDES CONTAR CONMIGO",2022-10-28,58,13,0,53,0,10,-5,F#/G♭ Major,3,1uQ6NWzUWB7tMIAvXZ104N,BK4DA2202839,no
157,"Potra Salvaje - Hard Remix","Isabel Aaiún,Fernando Moreno",75,2B,85,2026-06-23,05:42,8,"pop latino, latina, villancicos","Potra Salvaje (Hard Remix)",2023-10-14,72,12,0,53,30,60,-4,F#/G♭ Major,4,4gdpQ6zuDsePnD1YIDJCRw,QZTB82355610,no
158,"TORERO - Hardstyle Version","Sirolo",160,12A,99,2026-06-23,02:21,40,"bachata","TORERO (Hardstyle Version)",2024-02-20,54,2,0,50,0,30,-4,C♯/D♭ Minor,4,7nFQtFxSFw9UIJYmEq9mOz,QZES72415145,no
159,"Mi Estrella Blanca","Hottie",128,3B,82,2026-06-23,02:50,40,"afro house, house latino","Mi Estrella Blanca",2023-08-23,78,0,1,13,0,10,-10,C♯/D♭ Major,4,3ZF1A4LIOEUSsBCPN1QN08,QZTAS2303662,no
160,"La Mujer del Pelotero - Marsal Ventura & Jbill Techno Remix","Iwaro,Marsal Ventura,Jbill",152,10A,100,2026-06-23,01:36,32,"flamenco, flamenco pop, merengue, reggaetón, latina, urbano latino, trap latino","La Mujer del Pelotero (Marsal Ventura & Jbill Techno Remix)",2023-10-06,74,0,56,82,0,0,-3,B Minor,4,6rTBM5u3SRKOEHZB48lJUG,ES98D2300332,no
161,"Te voy Hacer Bailar","Poxistyle",182,4B,66,2026-06-23,03:10,36,"villancicos","Te voy Hacer Bailar",2023-06-30,32,0,11,18,10,60,-10,G#/A♭ Major,4,6mEIiXsfKPYNWgM2Ksa4zs,QZNWQ2323744,no
162,"Himno (para los que están jodidos) - DJ Nano Remix","La La Love You,DJ Nano,Allison",148,11B,98,2026-06-23,03:09,1,"rock en español, rock latino, rock mexicano, pop latino","Himno (para los que están jodidos) [DJ Nano Remix]",2023-06-16,63,0,0,75,0,20,-2,A Major,4,0NxbfkrP04nOVi0pZsF89O,ES6062300401,yes
163,"Ave Maria","Jayxme,Monjez",160,5A,79,2026-06-23,02:25,50,"techno, tekno, hipertechno","Ave Maria",2024-02-01,75,8,0,51,30,70,-7,C Minor,4,6pXMZnkZeNfgo0HXx1rF13,TCAHW2425295,no
164,"Lamento Boliviano - XTM Remix","Dani Mata",135,10A,96,2026-06-23,03:24,45,"indie","Lamento Boliviano (XTM Remix)",2007-01-01,59,12,10,83,0,10,-4,B Minor,4,5dTu7wlWpjJxYXxgbNNfdG,ES5700703069,no
165,"2 Hombres y un destino","Dany Bpm,Bacardit,Dany Mixtika",75,10B,96,2026-06-23,02:42,42,"indie, cantautores","2 Hombres y un destino",2025-01-24,47,0,0,66,10,0,-3,D Major,4,1yN6ZaSe7DPUY4hJbfgZKY,ES98D2400359,no
166,"Tu Calorro","Javi Guzman,La Madre Del Topo",176,8B,88,2026-06-23,03:01,43,"pop latino, afrobeat latino","Tu Calorro",2024-02-29,62,0,0,32,0,30,-3,C Major,4,2i7uQ7iOPIJN6akvyoEJrp,QZES52451220,no
167,"Las De La Intuición VS Estoy Aqui (Mashup) - Remix","Tincho & Javi,PAM Remixes",128,7B,94,2026-06-23,03:16,50,"indie, pop latino","Las De La Intuición VS Estoy Aqui (Mashup) - Remix",2025-03-14,67,0,0,67,0,0,-4,F Major,4,13cilGpBlU6gcLC6giISbu,ES75E2503686,no
168,"Droga x Estrellita de Madrugada","Paquillo Castro",160,5A,88,2026-06-23,03:55,16,"","Droga x Estrellita de Madrugada",2025-05-29,70,24,0,91,0,10,-5,C Minor,4,3TyDQS0857PYTbFcvWl9bG,QZTAU2586635,no
169,"Esta Soy Yo (Hard Dance Edit)","Alberto Rodrigo",138,7B,89,2026-06-23,02:41,44,"","Esta Soy Yo (Hard Dance Edit)",2024-08-16,69,13,0,59,0,0,-5,F Major,4,4KMNARkcdhACGiZpj5YfZJ,QZNJZ2475471,no
170,"No Te Vistas Que No Vas","K-Narias",95,7A,77,2026-06-23,03:16,2,"","40 Entre las 2",2005-09-27,81,10,0,88,0,10,-5,D Minor,4,5Yi3tEZN4On5Ttk32FYpao,ESAAI0269443,no
171,"Barquito","Tito  El Bambino ",100,1A,83,2026-06-23,03:43,60,"flamenco pop, flamenco","Invencible (El Patrón)",2014-03-26,79,16,0,87,10,20,-7,G#/A♭ Minor,4,4d6mECR6gBa74WRyNcHY03,TCABW1421904,no
172,"El Amor","Tito  El Bambino ",103,1B,76,2026-06-24,04:07,48,"flamenco pop, flamenco","El Patrón",2009-10-10,67,19,0,64,0,10,-8,B Major,4,4jUivlRr5KY3BaSc3vwNA8,ES7511554301,no
173,"Lo que podría salvarnos","Shinova",82,5B,80,2026-06-24,03:44,55,"urbano latino, trap latino","Lo que podría salvarnos",2026-02-04,34,5,0,48,0,20,-5,D#/E♭ Major,4,5EHV04ZCwjTLrI9CAe64g3,ES5152501560,no
174,"Amor Infinito","Siloé",151,8B,86,2026-06-24,04:21,66,"hard house, bounce","Terrorismo Emocional",2026-05-08,25,9,0,30,10,10,-4,C Major,4,32tQ7JgyVRiHJO1h12bvxx,QZTVM2609431,no
175,"Suspender adulto","Paula Mattheus",120,1B,71,2026-06-24,03:21,55,"eurodance","Todo lo alto que quiera",2026-02-06,79,44,0,70,0,10,-4,B Major,4,4W9FR2qTpBRA8lrDhzqu6H,DGA082556602,no
176,"MOJA1TA","Lola Indigo",130,10A,69,2026-06-24,02:24,55,"","MOJA1TA",2025-06-12,77,4,0,78,0,0,-5,B Minor,4,5HPNYgjgYWdpB7x6rNDWCM,ESUM72500589,no
177,"Amor, Amor, Amor","Funambulista",130,10B,91,2026-06-24,02:34,58,"","180º, Vol. 1",2025-01-17,59,0,0,57,0,10,-3,D Major,4,4TZWUXMjuaHTw0bp6xPr40,ES71G2500042,no
178,"ALGO TÚ","Shakira,Beéle",120,6A,87,2026-06-24,03:33,79,"afro house, afro tech, house latino, tribal house, electro house, edm","ALGO TÚ",2026-03-04,64,1,0,37,10,40,-5,G Minor,4,1dHbcmMm9bov1q4lG7Q4nQ,USSD12600053,no
179,"TU VAS SIN (fav)","Rels B",101,6B,57,2026-06-24,01:50,89,"techengue, cumbia","afroLOVA 25'",2025-06-20,88,7,0,28,10,20,-6,A#/B♭ Major,4,6uiQ0DqbXTBc8tl0AUKZkR,UYB282508143,no
180,"LA GRACIOSA","Quevedo,Elvis Crespo",110,4B,79,2026-06-24,04:17,85,"metal, nu metal, metal alternativo, rap metal, hard rock, pop latino","EL BAIFO",2026-04-24,70,28,0,71,0,20,-4,G#/A♭ Major,4,0TJYJrUDKQ1btt4g0Xwklw,ES03H2600033,no
181,"una noche","Alleh,Yorghaki",122,5B,69,2026-06-24,02:57,78,"pop latino, ","LA CIUDAD",2024-12-24,90,1,0,63,10,10,-5,D#/E♭ Major,4,3yO6Ca0Luwc23F94yX9tJJ,USLD91769019,no
182,"Sólo Se Vive una Vez","Azucar Moreno",102,2B,97,2026-06-24,03:30,61,"reggaetón, trap latino, latina, urbano latino","Mucho Azucar (Grandes Exitos)",1997-11-13,74,5,0,98,0,0,-5,F#/G♭ Major,4,5dg7OfEwTVvUZfqt24ObwI,ES5119901648,no
183,"Ven Devórame Otra Vez","Azucar Moreno",103,9B,66,2026-06-24,05:34,53,"reggaetón, trap latino, latina, urbano latino","Ven Devórame Otra Vez",2000-10-23,69,6,0,75,0,0,-12,G Major,4,772nkfhg0YnJ8mxzbUH4tF,ES5119901650,no
184,"Si No Te Cuida - Remix","Lucia De la Puerta,Jayxme",160,9B,89,2026-06-24,03:54,52,"","Si No Te Cuida (Remix)",2025-05-29,57,23,0,38,10,10,-5,G Major,4,4fXjq7kABv7Rhyjrn7GIQm,QZNJW2515500,no
185,"capaz (merengueton)","Alleh,Yorghaki",127,2A,61,2026-06-24,02:53,25,"pop latino, ","LA CIUDAD",2024-12-24,87,8,0,79,10,10,-6,D#/E♭ Minor,4,4DnrAI8WyUY6gkOwl8GlPN,USLD91766968,no
186,"Priti","Danny Ocean,Sech",122,11B,68,2026-06-24,02:10,68,"house latino, afro house","Priti",2025-03-20,80,16,0,52,0,10,-7,A Major,4,5FLzweTtgQurkLPs0E7uEO,USWL12500813,no
187,"Feriado","Rawayana",117,6B,55,2026-06-24,02:46,67,"reggaetón","¿Quién trae las cornetas?",2023-09-21,90,4,1,60,0,10,-8,A#/B♭ Major,4,0CyhLA1qjIinJAGnJYk1oK,BK4DA2310404,no
188,"CARACAS EN EL 2000","ELENA ROSE,Danny Ocean,Jerry Di",118,10B,71,2026-06-24,03:47,71,"flamenco","CARACAS EN EL 2000",2023-10-26,85,56,0,78,0,0,-7,D Major,4,4CUWxHauVJriW776t5lyCJ,USWL12302753,no
189,"OHNANA","Kapo",105,12A,58,2026-06-24,02:36,76,"","OHNANA",2024-06-06,78,62,0,66,10,10,-4,C♯/D♭ Minor,4,1fTjqf10accJCDYstPwwZ6,QZDYA1800338,no
190,"Si Me Necesitas, Llámame","Siloé",148,3B,85,2026-06-24,04:02,70,"hard house, bounce","Santa Trinidad",2023-10-27,49,30,0,35,0,50,-5,C♯/D♭ Major,4,4DEdfr4plBy97DH4YPg4At,QZTPX2386355,yes
191,"PIToRRO DE COCO","Bad Bunny",98,9B,67,2026-06-24,03:26,80,"pop latino, rock latino","DeBÍ TiRAR MáS FOToS",2025-01-05,64,25,0,54,0,10,-5,G Major,4,14QaXYIK3K3QPtezqxRRPN,QMFMF2447067,no
192,"mi refe","Beéle,Ovy On The Drums",151,6A,63,2026-06-24,02:39,77,"electro house, edm, afrobeat latino, reggaetón","mi refe",2024-12-05,59,42,0,46,20,10,-5,G Minor,5,7ricDBUakN3N0YkkKE8Obu,QZ7B82400138,no
193,"La Plena - W Sound 05","W Sound,Beéle,Ovy On The Drums",99,7B,64,2026-06-24,02:30,79,"electro house, edm, afrobeat latino, reggaetón","La Plena (W Sound 05)",2025-02-20,89,54,0,66,10,10,-3,F Major,4,6xOEgzkMSZJKz6qtCJsQL5,USWL12500595,yes
194,"amor de verano - remix","Sofía Cristo,MARLENA,Seiken",150,2B,99,2026-06-24,02:57,48,"indie, reggaetón, latina, ","amor de verano (remix)",2024-08-14,63,1,4,64,0,30,-3,F#/G♭ Major,4,1Bks8JX3p63fFFlJTjpOgK,ES05I2400038,no
195,"No Quiero Más Canciones Tristes","Amaral",122,12B,76,2026-06-24,03:28,58,"trap latino, dembow, reggaetón, trap","No Quiero Más Canciones Tristes",2026-05-20,40,38,0,29,0,20,-4,E Major,4,6YNbKdyJdNb53ICBsEFKmj,ES66A2605001,no
196,"Sin ti no soy nada","Amaral",122,8A,87,2026-06-24,04:28,41,"trap latino, dembow, reggaetón, trap","Estrella De Mar",2002-02-04,69,7,0,56,0,10,-4,A Minor,4,3tORVJDKoY6zLrskPvouaL,ES5030100199,no
197,"Donde Estan las Gatas","Alex Gargolas,Daddy Yankee,Nicky Jam",110,6A,79,2026-06-24,02:50,76,"indie, reggaetón, flamenco pop, flamenco, flamenco urbano, bachata","Gargolas 3",2001-07-13,83,25,0,82,0,0,-12,G Minor,4,0tIpUUbOYIWqvI50Ksf7D5,QM4TW2026983,no
198,"Gasolina","Daddy Yankee",96,8B,80,2026-06-24,03:12,88,"reggaetón","Barrio Fino (Bonus Track Version)",2004-07-13,85,32,0,74,0,0,-7,C Major,4,5YoITs1m0q8UOQ4AW7N5ga,QM6N21759342,no
199,"El Paraíso - Remix","Sofía Cristo,Seiken,Mikel Izal",123,9B,91,2026-06-24,03:03,44,"indie, techengue, house latino","El Paraíso (Remix)",2024-10-25,62,1,0,33,0,20,-3,G Major,4,5hx6Bg2HYqKgEqyZzsKlBY,QZTVM2484118,no
200,"Everytime We Touch","B Jones,Sofía Cristo",142,4A,94,2026-06-24,02:55,42,"indie","Everytime We Touch",2024-04-26,68,9,0,55,0,30,-3,F Minor,4,3hlfAe2myRotTnwB4kHuz0,GX3Q92459026,no
201,"The Power of Love","Dany Bpm,Sofía Cristo,Eva Iglesias",75,4B,100,2026-06-24,03:06,40,"indie, ","The Power of Love",2025-02-14,33,0,0,23,10,10,-3,G#/A♭ Major,4,6bqgXclhLUZHiK0dwDLiZ6,UKXN22546013,no
202,"Mi Mundo Sin Ti (Remix)","Sofía Cristo,Soraya,Seiken",126,11B,91,2026-06-24,02:49,38,"indie, reggaetón, ","Mi Mundo Sin Ti (Remix)",2023-02-10,71,3,0,60,0,20,-5,A Major,4,3yrPZLahC8ib0gHZXcOTe0,US7VG2335697,no
203,"El Cielo No Entiende 2.21","Sofía Cristo,OBK",126,8A,97,2026-06-24,03:40,37,"indie, ","El Cielo No Entiende 2.21",2021-11-18,64,7,0,39,0,30,-5,A Minor,4,7FOfMQA8uTEaS0fRWcrb1L,ES5702102153,no
204,"Ritmo de la noche","Sofía Cristo,Roi Porto,Seiken",145,11B,100,2026-06-24,03:10,36,"indie, flamenco, flamenco pop, ","Ritmo de la noche",2025-06-24,55,2,6,50,0,0,-5,A Major,4,5CnUSPfCLU0lpktXeSv6yo,GXH2J2520078,no
205,"Kitt y los Coches del Pasado - Remix","Ladilla Rusa,Sofía Cristo",140,9A,100,2026-06-24,03:47,34,"indie","Kitt y los Coches del Pasado (Remix)",2024-07-12,75,0,0,26,10,20,-4,E Minor,4,0JfDWS9tpBJ4n2kckRbsu4,QZNJX2444884,no
206,"Sabor de Amor - Remix","Sofía Cristo,Danza Invisible",140,12A,95,2026-06-24,02:39,34,"indie, reggaetón, urbano latino","Sabor de Amor (Remix)",2024-02-23,63,0,0,44,10,30,-4,C♯/D♭ Minor,4,1lzaZYgTE4Ig8ZKZne42cc,QZ5AB2422037,no
207,"Volare","Marsal Ventura,Sofía Cristo,Fonso Castillo",142,12B,89,2026-06-24,02:27,35,"merengue, reggaetón, latina, indie, reggae en español","Volare",2026-06-19,43,1,0,16,0,30,-4,E Major,5,0tOKSOOQWe7hvpUbqrF3bC,ES98D2600725,no
208,"Duro De Pelar - 30 Aniversario Remix","Rebeca,Dany Bpm,Sofía Cristo",150,6B,99,2026-06-24,03:27,33,"hipertechno, indie","Duro De Pelar (30 Aniversario Remix)",2026-03-06,56,0,0,56,0,0,-6,A#/B♭ Major,4,0tARzrnzW5AkmodkqsQuec,GXJBN2692522,no
209,"Gladiator - Radio Mix","Sofía Cristo,Dj Dbc,Samantha Moon",145,11A,80,2026-06-24,03:31,17,"indie, synthpop","Gladiator",2023-04-28,46,5,16,39,0,0,-5,F#/G♭ Minor,4,3ZSUbdVi7oDujh0Dl6nQhF,QZGLS2375945,no
210,"Gladiator - Extended Mix","Sofía Cristo,Dj Dbc,Samantha Moon",145,11A,87,2026-06-24,06:07,1,"indie, synthpop","Gladiator",2023-04-28,56,0,31,55,0,0,-5,F#/G♭ Minor,4,4zkZdzF7EImRBktS2G5193,QZGLS2375946,no
211,"Gladiator - Club House Mix","Sofía Cristo,Dj Dbc,Samantha Moon",125,11A,93,2026-06-24,06:52,0,"indie, synthpop","Gladiator",2023-04-28,67,1,17,70,10,0,-5,F#/G♭ Minor,4,4EaSX1Azp7x2yTa4D6Whov,QZGLS2375947,no
212,"Tres Cosas (Salud, Dinero y Amor) (Groove Radio Edit)","Sofía Cristo,Seiken",130,9B,99,2026-06-24,02:49,5,"indie, ","Tres Cosas (Salud, Dinero y Amor)",2022-10-17,62,0,45,68,0,40,-5,G Major,4,5O4R7slNlizPW4xa5al8DI,QZTVM2283979,no
213,"Tres Cosas (Salud, Dinero y Amor) (Tech House Radio Edit)","Sofía Cristo,Seiken",130,11A,88,2026-06-24,03:17,10,"indie, ","Tres Cosas (Salud, Dinero y Amor)",2022-10-17,71,1,22,60,0,30,-5,F#/G♭ Minor,4,2Ikt5J9j7RRq9ZUezhOLC0,QZTVM2283980,no
214,"Tres Cosas (Salud, Dinero y Amor) (Groove Extended Remix)","Sofía Cristo,Seiken",130,10A,99,2026-06-24,05:13,1,"indie, ","Tres Cosas (Salud, Dinero y Amor)",2022-10-17,73,0,65,61,0,0,-6,B Minor,4,4K0KccU9GlY3bKyB1z51IK,QZTVM2283981,no
215,"Tres Cosas (Salud, Dinero y Amor) (Tech House Extended Remix)","Sofía Cristo,Seiken",130,11A,82,2026-06-24,04:14,1,"indie, ","Tres Cosas (Salud, Dinero y Amor)",2022-10-17,75,0,40,77,0,0,-6,F#/G♭ Minor,4,0oB4AmtnmDZcvDpmdpMOTo,QZTVM2283982,no
216,"Que nada nos pare (lo más importante)","ELYELLA,La La Love You",128,1B,76,2026-06-24,03:05,65,"","Lo más importante",2025-10-24,65,0,14,75,0,10,-5,B Major,4,3dGd50B6AjIpwbtlyFRdp2,ES65D2200011,yes
217,"Estoy Llorando por Ti","Sofía Cristo,Ku Minerva",124,10A,93,2026-06-24,03:42,29,"indie, ","Estoy Llorando por Ti",2021-01-06,67,0,49,75,0,10,-8,B Minor,4,6f6Vb9lVG93gPDB68BAYGa,QZNJY2004147,no
218,"Estoy Llorando por Ti - Extended","Sofía Cristo,Ku Minerva",124,10A,95,2026-06-24,04:58,15,"indie, ","Estoy Llorando por Ti",2021-01-06,78,0,62,91,0,0,-7,B Minor,4,2iFRnOZAE9HpwppHooGW19,QZNJY2004148,no
219,"Todos los Besos","Siloé",150,3B,89,2026-06-24,04:27,72,"hard house, bounce","Santa Trinidad",2023-10-27,55,2,0,56,0,30,-4,C♯/D♭ Major,4,2vSJKKmOEJQA5tr082p5XX,US7VG2356365,no
220,"Another Night","Sofía Cristo,TARS.",150,9A,93,2026-06-24,02:43,27,"indie, ","Another Night",2026-02-13,54,2,21,51,0,10,-7,E Minor,4,3qSA6X05sgJzCea1GUUR1w,NL9KQ2691161,no
221,"Que Merezca la Pena","Siloé",150,9B,82,2026-06-24,03:34,67,"hard house, bounce","Santa Trinidad",2023-10-27,36,24,0,27,0,10,-6,G Major,4,57YBT0mbIqGTHbTolngDj4,QZTPX2387176,no
222,"Opus","Eric Prydz",125,11A,72,2026-06-24,09:03,66,"","Opus",2016-02-05,28,0,82,18,0,0,-6,F#/G♭ Minor,4,3v2oAQomhOcYCPPHafS3KV,GB6CM1500105,no
223,"Si no es contigo (feat. Rafa Val, Viva Suecia)","Shinova,Rafa Val,Viva Suecia",123,5A,41,2026-06-24,03:19,51,"urbano latino, trap latino, house latino, afro house, ","El presente... y los días que vendrán",2025-10-31,61,32,0,48,0,0,-12,C Minor,4,2oETaqQK5daA0eXul9OQsS,ES5152201742,no
224,"Cartas de Navegación","Shinova",80,7A,70,2026-06-24,05:00,51,"urbano latino, trap latino","Cartas de Navegación",2018-10-05,41,3,0,24,0,10,-10,D Minor,4,0oYlTMWO7eFocaAb9b2P7s,ES5151802136,no
225,"La Salvación","Arde Bogotá",160,1B,69,2026-06-24,04:23,72,"tribal house","COWBOYS DE LA A3",2023-05-12,51,3,0,31,0,10,-6,B Major,4,0txzIz1WcoAn6m07xypcD5,ES5022300053,no
226,"Quimbara - Radio Edit","Claudia León,ARKAD3,Alba Dreid",124,9A,93,2026-06-24,03:27,43,"afrobeat latino, rock en español, ","Quimbara (Radio Edit)",2025-09-26,80,6,8,19,0,30,-4,E Minor,4,37lK8WHKu6zt9ANih9elLO,QZZ8A2540918,no
227,"Rosas","La Oreja de Van Gogh",107,11B,69,2026-06-24,03:56,83,"eurodance","Lo Que Te Conte Mientras Te Hacias La Dormida",2003-00-00,78,63,0,54,0,10,-5,A Major,4,4waqcUQWdj0yH26STWl2Rq,ES5110304435,no
228,"Colgando en tus manos (con Marta Sánchez)","Carlos Baute,Marta Sánchez",120,2B,64,2026-06-24,03:50,81,"house latino, tribal house, afro house","De mi puño y letra - Edicion Coleccionista",2009-00-00,84,54,0,88,0,10,-5,F#/G♭ Major,4,3UI9I3e1g1y5T3SMfdgfGO,ES5150801314,no
229,"Puedes Contar Conmigo","La Oreja de Van Gogh",145,2B,89,2026-06-24,03:56,76,"eurodance","Lo Que Te Conte Mientras Te Hacias La Dormida",2003-00-00,65,7,0,56,0,10,-5,F#/G♭ Major,4,1hbWtHgRDG25DkmxE4I28V,ES5110304433,no
230,"El universo sobre mí","Amaral",186,10B,84,2026-06-24,04:09,59,"trap latino, dembow, reggaetón, trap","El universo sobre mí",2005-02-04,39,14,0,43,0,10,-4,D Major,4,0m4tYFXTFo0SGlztTqkvNY,ES5080500001,no
231,"El Sol No Regresa","La Quinta Estacion",128,5B,88,2026-06-24,03:48,81,"reggaetón","Flores De Alquiler",2004-03-02,62,5,0,72,0,30,-4,D#/E♭ Major,4,2awKQgW88iq9jFM54VaCAp,MXF010400019,no
