#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC,Explicit
52,"Super Estrella (feat. Omega El Fuerte)","Fuego,Omega El Fuerte",117,12A,58,2026-06-23,03:51,46,"reggaetón, ","La Musica Del Futuro Reloaded (Chosen Few Edition)",2012-11-20,80,3,6,89,0,10,-12,C♯/D♭ Minor,4,2daWE57mHQpK6I7pX7zwRP,USASN1202584,no
53,"Los Borrachos No Mienten","Lérica,Sarayma",100,7A,83,2026-06-23,02:53,54,"rkt, turreo, cuarteto, cumbia","Los Borrachos No Mienten",2026-01-16,65,30,0,79,0,30,-3,D Minor,4,7yeuZXsNeF2kXgNWR1Y1KF,ES5152501579,no
54,"Solita","Nesty,Dani J",130,3A,91,2026-06-23,03:07,31,"","Solita",2024-11-22,76,3,0,92,0,60,-2,A#/B♭ Minor,4,6vCuBTBJN3BfKwVoOvvoz9,QT2JQ2500062,no
55,"Arrebato de Amor","Silvia Expósito,Natalia Alegrías,Noelia Cazalla",88,3B,46,2026-06-23,04:09,28,"reggaetón, latina, urbano latino, trap argentino, trap latino, guaracha, electrónica, tribal house","Arrebato de Amor",2022-06-23,45,42,0,58,10,10,-10,C♯/D♭ Major,4,0a2WfYCo5jCQvurHpnbdMB,ESA092203486,no
56,"Por un Pendejo no se llora","Manuel Turizo",122,11B,80,2026-06-23,02:31,73,"flamenco, flamenco urbano, flamenco pop","Por un Pendejo no se llora",2026-01-15,80,30,0,96,0,10,-4,A Major,4,4VPl3WGYKxQG8EVis7uLDt,QZDYA1800609,yes
57,"Pimp - Remix","Fede Mangeon",98,3B,68,2026-06-23,02:34,52,"bachata, salsa, kizomba","Pimp (Remix)",2018-03-14,93,4,0,90,10,10,-6,C♯/D♭ Major,4,66cJ3mgfrbu2LkzJydPQrt,QZHZ62059789,yes
58,"la patadita","Beéle,Elvis Crespo",75,8B,83,2026-06-23,02:28,65,"electro house, edm, pop latino","la patadita",2025-12-16,70,11,0,85,0,30,-4,C Major,4,2B4kxkpv5OuB5b23XlZYTt,QZ7B82500501,no
59,"Despierto Amándote","Miranda!,bailamamá",124,1A,71,2026-06-23,02:57,52,"reggaetón, urbano latino, flamenco, flamenco pop, flamenco urbano","Despierto Amándote",2025-12-18,79,0,1,54,0,10,-5,G#/A♭ Minor,4,3EmUUbEUQgOtN7WQOqsi0U,ARF102500460,no
60,"SUPERESTRELLA","Aitana",136,2B,85,2026-06-23,03:03,87,"merengue, latin dance, salsa, latina","CUARTO AZUL",2025-05-29,79,19,0,58,0,20,-5,F#/G♭ Major,4,6hpuesKPNa3WhV48O7Fa47,ESUM72500492,yes
61,"Bizum (Qué Tienen Tus Ojos)","Tutto Durán,Nacho",125,8B,76,2026-06-23,02:16,11,"timba","No Soy Bachatero",2025-05-30,79,7,0,95,0,10,-7,C Major,4,2JgfDySTChCvvqpmx3Xn03,QZNJW2502894,no
62,"LA SANTA","Lola Indigo",136,9B,67,2026-06-23,02:45,42,"","LA SANTA",2023-03-16,76,3,0,48,0,10,-5,G Major,4,3TcSNX1WhlcVAI6fLWt7Qs,ESUM72200147,no
